Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc
CUST_00001,Blue,200,0,87,01-01-2023,Week-1,Q1,2023,3544.0,1661,15149,111,0.469,Chip ,Travel,4393.21,0
CUST_00004,Blue,250,1,150,01-01-2023,Week-1,Q1,2023,1438.3,0,3940,82,0.0,Online ,Grocery,236.4,0
CUST_00009,Blue,200,1,64,01-01-2023,Week-1,Q1,2023,2679.0,2277,4943,85,0.85,Chip ,Food,988.6,0
CUST_00011,Blue,455,1,118,01-01-2023,Week-1,Q1,2023,1438.3,890,2928,48,0.619,Swipe ,Fuel,732.0,0
CUST_00013,Blue,440,1,86,01-01-2023,Week-1,Q1,2023,23510.0,1049,1661,35,0.045,Swipe ,Grocery,465.08,0
CUST_00015,Blue,360,0,70,01-01-2023,Week-1,Q1,2023,1880.0,0,2469,34,0.0,Chip ,Bills,419.73,1
CUST_00018,Silver,355,0,78,01-01-2023,Week-1,Q1,2023,11463.0,0,14511,105,0.0,Swipe ,Fuel,3047.31,0
CUST_00020,Blue,125,1,105,01-01-2023,Week-1,Q1,2023,1814.0,0,5014,99,0.0,Swipe ,Entertainment,1303.64,0
CUST_00021,Blue,350,1,77,01-01-2023,Week-1,Q1,2023,2072.0,1544,4210,64,0.745,Chip ,Entertainment,884.1,0
CUST_00024,Blue,110,1,73,01-01-2023,Week-1,Q1,2023,2616.0,801,4655,68,0.306,Swipe ,Entertainment,605.15,0
CUST_00030,Blue,335,1,101,01-01-2023,Week-1,Q1,2023,18512.0,1664,8019,57,0.09,Swipe ,Food,721.71,0
CUST_00031,Blue,375,0,150,01-01-2023,Week-1,Q1,2023,34516.0,1802,7936,101,0.052,Swipe ,Fuel,634.88,0
