Client_Num,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Car_Owner,House_Owner,Personal_loan,contact,Cust_Satisfaction_Score
CUST_00001,24,F,1,Uneducated,Single,FL,no,yes,no,unknown,3
CUST_00004,38,M,2,Uneducated,Single,NY,no,no,no,cellular,1
CUST_00009,48,M,2,High School,Married,NJ,yes,no,no,telephone,2
CUST_00011,31,F,0,Post-Graduate,Single,CA,no,yes,no,telephone,2
CUST_00013,51,F,2,Graduate,Single,NJ,yes,yes,no,cellular,2
CUST_00015,49,F,4,Graduate,Married,CA,no,yes,no,unknown,1
CUST_00018,47,F,5,Graduate,Married,FL,no,no,no,cellular,2
CUST_00020,47,M,3,Graduate,Married,NY,no,no,no,cellular,2
CUST_00021,34,F,3,Uneducated,Single,TX,yes,yes,yes,telephone,1
CUST_00024,55,M,2,Doctorate,Married,MO,yes,yes,no,cellular,2
CUST_00030,46,M,3,Graduate,Married,NY,yes,yes,no,cellular,2
CUST_00031,44,M,4,Graduate,Unknown,IA,no,no,no,telephone,3
CUST_00032,40,F,3,Graduate,Married,NJ,yes,yes,no,cellular,2
CUST_00034,51,F,2,Uneducated,Single,NY,yes,no,no,cellular,2
CUST_00036,49,F,2,Unknown,Single,TX,yes,yes,no,cellular,3
CUST_00037,43,F,5,Graduate,Married,TX,no,yes,no,cellular,2
CUST_00038,54,M,1,Graduate,Single,NY,no,yes,no,unknown,1
CUST_00040,52,F,3,Graduate,Married,NY,no,yes,no,unknown,1
CUST_00042,49,F,0,Graduate,Single,NY,yes,no,no,cellular,1
CUST_00046,47,F,2,Doctorate,Single,CA,no,yes,no,cellular,2
CUST_00047,47,F,4,Unknown,Unknown,CA,no,yes,no,cellular,1
CUST_00048,47,F,3,Unknown,Single,NY,no,yes,no,unknown,3
CUST_00049,53,F,2,Graduate,Married,CA,no,no,yes,telephone,2
CUST_00051,42,M,1,Uneducated,Married,AK,no,no,yes,cellular,1
CUST_00058,58,F,1,Unknown,Married,NY,no,yes,no,cellular,3
CUST_00059,57,F,1,Graduate,Single,CA,no,yes,no,cellular,3
CUST_00060,38,M,2,Graduate,Married,CA,yes,no,no,cellular,3
CUST_00062,60,F,1,Uneducated,Single,NJ,no,no,no,cellular,3
CUST_00064,39,M,4,Graduate,Single,NJ,yes,no,no,cellular,2
CUST_00066,50,M,2,High School,Married,NY,no,no,no,unknown,3
CUST_00069,62,M,0,High School,Single,TX,no,yes,no,cellular,3
CUST_00071,38,F,1,Graduate,Married,CA,no,yes,no,unknown,1
CUST_00074,26,M,0,Graduate,Single,NY,no,yes,no,cellular,3
CUST_00077,39,F,2,Graduate,Single,CA,yes,no,no,cellular,1
CUST_00080,56,M,2,Graduate,Married,CA,no,no,no,unknown,2
CUST_00081,47,F,3,Graduate,Single,FL,yes,yes,no,telephone,2
CUST_00082,48,F,3,Graduate,Married,TX,no,yes,no,cellular,1
CUST_00085,41,F,1,High School,Single,NY,no,no,no,cellular,3
CUST_00088,39,F,1,Graduate,Single,NY,no,no,no,cellular,1
CUST_00089,54,F,2,Graduate,Married,TX,no,no,no,cellular,2
CUST_00093,29,M,0,Graduate,Single,NJ,no,no,no,cellular,3
CUST_00094,63,F,2,Graduate,Single,NY,yes,no,no,cellular,2
CUST_00096,41,F,2,Graduate,Married,CA,yes,no,no,cellular,3
CUST_00097,55,M,2,Unknown,Single,FL,no,no,no,cellular,2
CUST_00100,46,F,4,Doctorate,Married,NY,no,yes,no,cellular,1
CUST_00102,36,M,3,High School,Married,NJ,yes,yes,no,cellular,1
CUST_00103,37,M,4,Post-Graduate,Married,NY,yes,no,no,cellular,2
CUST_00104,59,F,1,Graduate,Married,NJ,no,no,no,cellular,3
CUST_00105,49,F,3,Uneducated,Single,TX,no,yes,no,cellular,3
CUST_00107,56,M,1,Graduate,Single,TX,yes,yes,no,unknown,3
CUST_00108,45,F,5,Doctorate,Married,TX,no,no,yes,unknown,1
CUST_00109,63,M,0,Unknown,Unknown,CA,no,no,yes,cellular,2
CUST_00112,49,F,4,Uneducated,Married,TX,no,no,no,cellular,2
CUST_00119,39,F,0,Graduate,Married,CA,no,yes,no,unknown,2
CUST_00120,41,M,2,Graduate,Married,CA,no,no,no,telephone,1
CUST_00132,42,M,2,Uneducated,Single,NJ,yes,no,no,cellular,1
CUST_00133,35,F,1,Unknown,Married,TX,no,no,no,cellular,2
CUST_00136,42,F,5,Graduate,Married,GA,yes,no,no,cellular,3
CUST_00145,57,M,3,Unknown,Single,NY,yes,yes,yes,telephone,3
CUST_00150,45,F,3,Graduate,Single,NY,no,yes,no,cellular,3
CUST_00158,41,F,2,Graduate,Married,CA,no,no,no,telephone,3
CUST_00165,40,F,2,High School,Married,MA,yes,yes,no,cellular,2
CUST_00169,33,F,0,Graduate,Single,TX,no,yes,no,cellular,2
CUST_00170,45,F,5,Uneducated,Married,NY,no,yes,yes,unknown,2
CUST_00173,47,M,2,Graduate,Married,CA,no,yes,yes,cellular,2
CUST_00178,65,F,0,Uneducated,Single,FL,no,no,no,cellular,3
CUST_00181,59,F,0,Doctorate,Single,CA,yes,no,no,cellular,3
CUST_00182,45,F,3,Uneducated,Married,TX,yes,yes,yes,cellular,3
CUST_00186,48,F,5,Post-Graduate,Married,CA,no,no,no,cellular,3
CUST_00197,55,F,2,High School,Single,CA,no,no,no,unknown,2
CUST_00200,55,F,4,Uneducated,Married,FL,no,yes,no,cellular,2
CUST_00210,36,F,2,Graduate,Single,NY,no,no,no,cellular,2
CUST_00211,50,F,2,Uneducated,Married,NJ,no,no,yes,telephone,3
CUST_00212,51,F,1,Post-Graduate,Single,NY,no,yes,no,cellular,3
CUST_00213,38,M,1,Graduate,Single,CA,yes,no,no,cellular,2
CUST_00215,59,M,0,High School,Single,NY,yes,no,no,cellular,2
CUST_00218,49,M,4,Doctorate,Married,NJ,yes,no,no,cellular,1
CUST_00222,43,M,1,High School,Married,TX,yes,no,yes,cellular,2
CUST_00223,37,M,3,High School,Single,CA,no,yes,no,cellular,3
CUST_00230,58,M,0,Graduate,Single,CA,no,no,no,cellular,2
CUST_00231,51,F,1,Doctorate,Married,TX,no,yes,no,cellular,1
CUST_00234,44,F,2,Graduate,Single,TX,no,yes,no,cellular,2
CUST_00240,56,F,3,Graduate,Single,FL,yes,yes,no,unknown,1
CUST_00246,40,M,3,Unknown,Single,NJ,no,no,no,cellular,1
CUST_00248,36,F,4,Graduate,Single,CA,yes,no,no,unknown,1
CUST_00249,48,F,2,Graduate,Single,NY,yes,yes,no,unknown,1
CUST_00252,53,M,3,Unknown,Married,NJ,no,no,no,cellular,3
CUST_00253,33,F,3,Graduate,Married,FL,no,yes,no,cellular,2
CUST_00258,35,F,1,Uneducated,Married,NJ,no,no,no,cellular,2
CUST_00260,56,F,1,Graduate,Single,CA,yes,yes,no,unknown,2
CUST_00262,60,F,1,High School,Single,TX,yes,yes,yes,unknown,3
CUST_00264,42,F,2,Graduate,Unknown,TX,yes,yes,no,cellular,1
CUST_00266,57,F,1,Graduate,Married,TX,no,no,no,unknown,2
CUST_00268,39,F,0,High School,Single,CA,no,no,no,telephone,1
CUST_00275,43,F,5,Uneducated,Married,CA,yes,yes,no,cellular,3
CUST_00287,46,M,0,Graduate,Single,TX,no,yes,no,unknown,2
CUST_00291,40,F,3,Graduate,Single,TX,yes,no,no,cellular,3
CUST_00292,52,F,1,Uneducated,Single,TX,no,yes,no,cellular,3
CUST_00293,50,F,3,Uneducated,Married,NY,no,no,no,cellular,2
CUST_00294,37,F,2,High School,Single,FL,yes,no,no,cellular,3
CUST_00296,32,F,0,Uneducated,Married,TX,yes,yes,no,cellular,2
CUST_00304,45,F,0,Graduate,Single,FL,yes,no,no,cellular,2
CUST_00305,38,F,3,Unknown,Married,FL,no,yes,no,cellular,3
CUST_00312,33,F,3,Graduate,Single,FL,yes,yes,no,cellular,3
CUST_00316,45,F,3,Graduate,Single,CA,no,yes,yes,cellular,2
CUST_00317,46,M,2,Graduate,Married,TX,no,no,no,telephone,3
CUST_00319,51,M,3,Unknown,Married,NY,yes,no,no,cellular,2
CUST_00320,43,F,3,Graduate,Single,NY,no,no,no,unknown,3
CUST_00322,48,F,3,Post-Graduate,Unknown,NY,no,no,no,cellular,2
CUST_00324,54,M,5,Graduate,Married,NY,no,yes,no,telephone,2
CUST_00331,46,M,2,Post-Graduate,Single,HI,yes,no,no,cellular,2
CUST_00333,43,F,3,Graduate,Married,CA,yes,no,yes,cellular,3
CUST_00334,54,M,4,Unknown,Married,CA,no,no,no,telephone,2
CUST_00335,52,F,2,Post-Graduate,Single,NY,no,yes,no,unknown,2
CUST_00336,36,F,4,Unknown,Married,NY,no,yes,yes,unknown,2
CUST_00338,51,F,4,Doctorate,Married,NY,yes,yes,yes,cellular,3
CUST_00347,35,F,3,Unknown,Married,NY,no,yes,no,unknown,2
CUST_00348,54,F,2,Graduate,Single,TX,no,yes,no,cellular,2
CUST_00350,44,F,4,High School,Single,NY,no,yes,yes,cellular,2
CUST_00351,32,F,1,Unknown,Married,TX,yes,yes,no,unknown,2
CUST_00354,49,F,2,Uneducated,Married,NY,yes,no,no,unknown,2
CUST_00355,44,M,5,Unknown,Single,AZ,no,yes,no,cellular,3
CUST_00361,62,F,1,High School,Unknown,CA,no,yes,no,cellular,3
CUST_00368,42,F,5,Graduate,Married,CA,yes,yes,no,cellular,2
CUST_00373,39,F,3,Uneducated,Single,NY,no,no,no,unknown,2
CUST_00374,35,M,3,Doctorate,Married,TX,no,yes,no,unknown,2
CUST_00377,53,M,4,Graduate,Married,TX,yes,no,no,cellular,2
CUST_00380,64,M,0,Graduate,Single,FL,no,yes,no,unknown,3
CUST_00382,61,F,0,High School,Married,NJ,no,no,no,unknown,1
CUST_00386,51,M,3,Graduate,Married,NY,no,yes,no,cellular,2
CUST_00389,52,M,2,Graduate,Married,CA,yes,no,no,unknown,3
CUST_00394,40,F,3,Uneducated,Unknown,CA,no,no,yes,cellular,2
CUST_00395,48,F,4,Graduate,Single,NY,yes,no,no,cellular,3
CUST_00400,40,F,4,Uneducated,Married,NY,yes,yes,no,cellular,3
CUST_00401,42,M,3,High School,Single,FL,yes,no,no,cellular,3
CUST_00403,42,F,1,Doctorate,Married,NJ,no,no,no,cellular,3
CUST_00404,60,F,0,Doctorate,Single,TX,no,yes,no,unknown,2
CUST_00409,50,F,0,Graduate,Single,NY,yes,yes,no,cellular,2
CUST_00411,44,M,4,Unknown,Married,FL,yes,no,no,cellular,2
CUST_00412,26,F,0,Unknown,Married,NY,yes,yes,no,cellular,2
CUST_00417,48,M,3,Graduate,Unknown,FL,no,yes,no,unknown,1
CUST_00419,52,M,4,Uneducated,Married,FL,no,no,no,cellular,2
CUST_00428,59,F,0,Unknown,Married,TX,no,yes,no,cellular,3
CUST_00430,29,F,0,Post-Graduate,Single,CA,no,yes,no,cellular,1
CUST_00433,50,M,2,Graduate,Married,NY,no,yes,no,unknown,1
CUST_00434,50,F,4,Unknown,Married,NJ,yes,yes,no,cellular,1
CUST_00439,55,F,2,Graduate,Single,FL,yes,no,no,unknown,3
CUST_00440,45,F,3,Graduate,Married,NY,no,no,no,cellular,2
CUST_00441,52,F,3,Uneducated,Single,TX,no,yes,yes,cellular,2
CUST_00446,37,M,2,Graduate,Married,TX,no,no,no,cellular,1
CUST_00448,30,M,0,Graduate,Married,IA,yes,yes,no,cellular,1
CUST_00450,49,F,3,Uneducated,Married,CA,no,no,no,unknown,1
CUST_00451,51,F,3,High School,Married,CA,no,no,no,unknown,3
CUST_00454,48,M,1,Unknown,Married,NY,no,no,no,cellular,3
CUST_00456,45,F,4,Graduate,Single,FL,yes,yes,no,cellular,1
CUST_00457,43,F,3,Unknown,Single,FL,yes,yes,no,cellular,2
